Sr No,Common Name,Scientific Name,Description,Uses,Advantages,Disadvantages,Side Effects,Related Plants,Image 1,Image 2,Image 3,Image 4,3D Model Link
11,Lemongrass,Cymbopogon citratus,Lemongrass skin aur overall health ke liye famous hai.,"Skin care, anti-inflammatory","Soothing, useful in routines",Continuous use recommended nahi,Patch test advisable,"Aloe Vera, Neem",Lemongrass_1.jpg,Lemongrass_2.jpg,Lemongrass_3.jpg,Lemongrass_4.jpg,
12,Cinnamon,Cinnamomum verum,Cinnamon seasonal respiratory comfort me use hota hai.,"Respiratory, throat comfort",Aroma/comfort support,Strong smell some dislike,Irritation possible,"Thyme, Sage",Cinnamon_1.jpg,Cinnamon_2.jpg,Cinnamon_3.jpg,Cinnamon_4.jpg,
13,Clove,Syzygium aromaticum,Clove skin aur overall health ke liye famous hai.,"Skin care, anti-inflammatory","Soothing, useful in routines",Continuous use recommended nahi,Patch test advisable,"Aloe Vera, Neem",Clove_1.jpg,Clove_2.jpg,Clove_3.jpg,Clove_4.jpg,
14,Black Pepper,Piper nigrum,Black Pepper seasonal respiratory comfort me use hota hai.,"Respiratory, throat comfort",Aroma/comfort support,Strong smell some dislike,Irritation possible,"Thyme, Sage",Black_Pepper_1.jpg,Black_Pepper_2.jpg,Black_Pepper_3.jpg,Black_Pepper_4.jpg,
15,Cardamom,Elettaria cardamomum,Cardamom ek medicinal plant hai jo daily wellness me help karta hai.,"Immunity, digestion, skin care","Natural support, easy to use",Overuse se discomfort ho sakta hai,Allergy/interaction possible,"Tulsi, Neem",Cardamom_1.jpg,Cardamom_2.jpg,Cardamom_3.jpg,Cardamom_4.jpg,
16,Fennel,Foeniculum vulgare,Fennel traditional medicine me use hota hai aur body ko support karta hai.,"General health, immunity","Antioxidant support, natural",Kuch logon me taste/irritation,Sensitive logon ko dikkat,"Amla, Ginger",Fennel_1.jpg,Fennel_2.jpg,Fennel_3.jpg,Fennel_4.jpg,
17,Cumin,Cuminum cyminum,Cumin traditional medicine me use hota hai aur body ko support karta hai.,"General health, immunity","Antioxidant support, natural",Kuch logon me taste/irritation,Sensitive logon ko dikkat,"Amla, Ginger",Cumin_1.jpg,Cumin_2.jpg,Cumin_3.jpg,Cumin_4.jpg,
18,Coriander,Coriandrum sativum,Coriander skin aur overall health ke liye famous hai.,"Skin care, anti-inflammatory","Soothing, useful in routines",Continuous use recommended nahi,Patch test advisable,"Aloe Vera, Neem",Coriander_1.jpg,Coriander_2.jpg,Coriander_3.jpg,Coriander_4.jpg,
19,Fenugreek,Trigonella foenum-graecum,Fenugreek skin aur overall health ke liye famous hai.,"Skin care, anti-inflammatory","Soothing, useful in routines",Continuous use recommended nahi,Patch test advisable,"Aloe Vera, Neem",Fenugreek_1.jpg,Fenugreek_2.jpg,Fenugreek_3.jpg,Fenugreek_4.jpg,
20,Moringa,Moringa oleifera,Moringa traditional medicine me use hota hai aur body ko support karta hai.,"General health, immunity","Antioxidant support, natural",Kuch logon me taste/irritation,Sensitive logon ko dikkat,"Amla, Ginger",Moringa_1.jpg,Moringa_2.jpg,Moringa_3.jpg,Moringa_4.jpg,
21,Brahmi,Bacopa monnieri,Brahmi heart wellness support ke liye popular hai.,"Heart health, circulation","Traditional tonic, antioxidant",Not for everyone,Consult if on meds,"Arjuna, Garlic",Brahmi_1.jpg,Brahmi_2.jpg,Brahmi_3.jpg,Brahmi_4.jpg,
22,Shankhpushpi,Convolvulus pluricaulis,Shankhpushpi traditional medicine me use hota hai aur body ko support karta hai.,"General health, immunity","Antioxidant support, natural",Kuch logon me taste/irritation,Sensitive logon ko dikkat,"Amla, Ginger",Shankhpushpi_1.jpg,Shankhpushpi_2.jpg,Shankhpushpi_3.jpg,Shankhpushpi_4.jpg,
23,Arjuna,Terminalia arjuna,Arjuna ek medicinal plant hai jo daily wellness me help karta hai.,"Immunity, digestion, skin care","Natural support, easy to use",Overuse se discomfort ho sakta hai,Allergy/interaction possible,"Tulsi, Neem",Arjuna_1.jpg,Arjuna_2.jpg,Arjuna_3.jpg,Arjuna_4.jpg,
24,Licorice,Glycyrrhiza glabra,Licorice seasonal respiratory comfort me use hota hai.,"Respiratory, throat comfort",Aroma/comfort support,Strong smell some dislike,Irritation possible,"Thyme, Sage",Licorice_1.jpg,Licorice_2.jpg,Licorice_3.jpg,Licorice_4.jpg,
25,Eucalyptus,Eucalyptus globulus,Eucalyptus digestion aur gut health me helpful mana jata hai.,"Digestion, bloating, appetite","Digestive support, common herb",Excess se acidity,Stomach upset,"Fennel, Cumin",Eucalyptus_1.jpg,Eucalyptus_2.jpg,Eucalyptus_3.jpg,Eucalyptus_4.jpg,
26,Basil,Ocimum basilicum,Basil digestion aur gut health me helpful mana jata hai.,"Digestion, bloating, appetite","Digestive support, common herb",Excess se acidity,Stomach upset,"Fennel, Cumin",Basil_1.jpg,Basil_2.jpg,Basil_3.jpg,Basil_4.jpg,
27,Rosemary,Salvia rosmarinus,Rosemary traditional medicine me use hota hai aur body ko support karta hai.,"General health, immunity","Antioxidant support, natural",Kuch logon me taste/irritation,Sensitive logon ko dikkat,"Amla, Ginger",Rosemary_1.jpg,Rosemary_2.jpg,Rosemary_3.jpg,Rosemary_4.jpg,
28,Thyme,Thymus vulgaris,Thyme traditional medicine me use hota hai aur body ko support karta hai.,"General health, immunity","Antioxidant support, natural",Kuch logon me taste/irritation,Sensitive logon ko dikkat,"Amla, Ginger",Thyme_1.jpg,Thyme_2.jpg,Thyme_3.jpg,Thyme_4.jpg,
29,Oregano,Origanum vulgare,Oregano skin aur overall health ke liye famous hai.,"Skin care, anti-inflammatory","Soothing, useful in routines",Continuous use recommended nahi,Patch test advisable,"Aloe Vera, Neem",Oregano_1.jpg,Oregano_2.jpg,Oregano_3.jpg,Oregano_4.jpg,
30,Sage,Salvia officinalis,Sage ek medicinal plant hai jo daily wellness me help karta hai.,"Immunity, digestion, skin care","Natural support, easy to use",Overuse se discomfort ho sakta hai,Allergy/interaction possible,"Tulsi, Neem",Sage_1.jpg,Sage_2.jpg,Sage_3.jpg,Sage_4.jpg,
31,Chamomile,Matricaria chamomilla,Chamomile heart wellness support ke liye popular hai.,"Heart health, circulation","Traditional tonic, antioxidant",Not for everyone,Consult if on meds,"Arjuna, Garlic",Chamomile_1.jpg,Chamomile_2.jpg,Chamomile_3.jpg,Chamomile_4.jpg,
32,Lavender,Lavandula angustifolia,Lavender digestion aur gut health me helpful mana jata hai.,"Digestion, bloating, appetite","Digestive support, common herb",Excess se acidity,Stomach upset,"Fennel, Cumin",Lavender_1.jpg,Lavender_2.jpg,Lavender_3.jpg,Lavender_4.jpg,
33,Valerian,Valeriana officinalis,Valerian digestion aur gut health me helpful mana jata hai.,"Digestion, bloating, appetite","Digestive support, common herb",Excess se acidity,Stomach upset,"Fennel, Cumin",Valerian_1.jpg,Valerian_2.jpg,Valerian_3.jpg,Valerian_4.jpg,
34,Ginkgo,Ginkgo biloba,Ginkgo heart wellness support ke liye popular hai.,"Heart health, circulation","Traditional tonic, antioxidant",Not for everyone,Consult if on meds,"Arjuna, Garlic",Ginkgo_1.jpg,Ginkgo_2.jpg,Ginkgo_3.jpg,Ginkgo_4.jpg,
35,Green Tea,Camellia sinensis,Green Tea heart wellness support ke liye popular hai.,"Heart health, circulation","Traditional tonic, antioxidant",Not for everyone,Consult if on meds,"Arjuna, Garlic",Green_Tea_1.jpg,Green_Tea_2.jpg,Green_Tea_3.jpg,Green_Tea_4.jpg,
36,Hibiscus,Hibiscus sabdariffa,Hibiscus skin aur overall health ke liye famous hai.,"Skin care, anti-inflammatory","Soothing, useful in routines",Continuous use recommended nahi,Patch test advisable,"Aloe Vera, Neem",Hibiscus_1.jpg,Hibiscus_2.jpg,Hibiscus_3.jpg,Hibiscus_4.jpg,
37,Dandelion,Taraxacum officinale,Dandelion skin aur overall health ke liye famous hai.,"Skin care, anti-inflammatory","Soothing, useful in routines",Continuous use recommended nahi,Patch test advisable,"Aloe Vera, Neem",Dandelion_1.jpg,Dandelion_2.jpg,Dandelion_3.jpg,Dandelion_4.jpg,
38,Milk Thistle,Silybum marianum,Milk Thistle heart wellness support ke liye popular hai.,"Heart health, circulation","Traditional tonic, antioxidant",Not for everyone,Consult if on meds,"Arjuna, Garlic",Milk_Thistle_1.jpg,Milk_Thistle_2.jpg,Milk_Thistle_3.jpg,Milk_Thistle_4.jpg,
39,Artichoke,Cynara cardunculus var. scolymus,Artichoke seasonal respiratory comfort me use hota hai.,"Respiratory, throat comfort",Aroma/comfort support,Strong smell some dislike,Irritation possible,"Thyme, Sage",Artichoke_1.jpg,Artichoke_2.jpg,Artichoke_3.jpg,Artichoke_4.jpg,
40,Slippery Elm,Ulmus rubra,Slippery Elm ek medicinal plant hai jo daily wellness me help karta hai.,"Immunity, digestion, skin care","Natural support, easy to use",Overuse se discomfort ho sakta hai,Allergy/interaction possible,"Tulsi, Neem",Slippery_Elm_1.jpg,Slippery_Elm_2.jpg,Slippery_Elm_3.jpg,Slippery_Elm_4.jpg,
41,Psyllium,Plantago ovata,Psyllium seasonal respiratory comfort me use hota hai.,"Respiratory, throat comfort",Aroma/comfort support,Strong smell some dislike,Irritation possible,"Thyme, Sage",Psyllium_1.jpg,Psyllium_2.jpg,Psyllium_3.jpg,Psyllium_4.jpg,
42,Senna,Senna alexandrina,Senna heart wellness support ke liye popular hai.,"Heart health, circulation","Traditional tonic, antioxidant",Not for everyone,Consult if on meds,"Arjuna, Garlic",Senna_1.jpg,Senna_2.jpg,Senna_3.jpg,Senna_4.jpg,
43,Haritaki,Terminalia chebula,Haritaki traditional medicine me use hota hai aur body ko support karta hai.,"General health, immunity","Antioxidant support, natural",Kuch logon me taste/irritation,Sensitive logon ko dikkat,"Amla, Ginger",Haritaki_1.jpg,Haritaki_2.jpg,Haritaki_3.jpg,Haritaki_4.jpg,
44,Bibhitaki,Terminalia bellirica,Bibhitaki heart wellness support ke liye popular hai.,"Heart health, circulation","Traditional tonic, antioxidant",Not for everyone,Consult if on meds,"Arjuna, Garlic",Bibhitaki_1.jpg,Bibhitaki_2.jpg,Bibhitaki_3.jpg,Bibhitaki_4.jpg,
45,Gotu Kola,Centella asiatica,Gotu Kola heart wellness support ke liye popular hai.,"Heart health, circulation","Traditional tonic, antioxidant",Not for everyone,Consult if on meds,"Arjuna, Garlic",Gotu_Kola_1.jpg,Gotu_Kola_2.jpg,Gotu_Kola_3.jpg,Gotu_Kola_4.jpg,
46,Calendula,Calendula officinalis,Calendula skin aur overall health ke liye famous hai.,"Skin care, anti-inflammatory","Soothing, useful in routines",Continuous use recommended nahi,Patch test advisable,"Aloe Vera, Neem",Calendula_1.jpg,Calendula_2.jpg,Calendula_3.jpg,Calendula_4.jpg,
47,Tea Tree,Melaleuca alternifolia,Tea Tree digestion aur gut health me helpful mana jata hai.,"Digestion, bloating, appetite","Digestive support, common herb",Excess se acidity,Stomach upset,"Fennel, Cumin",Tea_Tree_1.jpg,Tea_Tree_2.jpg,Tea_Tree_3.jpg,Tea_Tree_4.jpg,
48,Witch Hazel,Hamamelis virginiana,Witch Hazel heart wellness support ke liye popular hai.,"Heart health, circulation","Traditional tonic, antioxidant",Not for everyone,Consult if on meds,"Arjuna, Garlic",Witch_Hazel_1.jpg,Witch_Hazel_2.jpg,Witch_Hazel_3.jpg,Witch_Hazel_4.jpg,
49,Rose,Rosa damascena,Rose traditional medicine me use hota hai aur body ko support karta hai.,"General health, immunity","Antioxidant support, natural",Kuch logon me taste/irritation,Sensitive logon ko dikkat,"Amla, Ginger",Rose_1.jpg,Rose_2.jpg,Rose_3.jpg,Rose_4.jpg,
50,Sandalwood,Santalum album,Sandalwood ek medicinal plant hai jo daily wellness me help karta hai.,"Immunity, digestion, skin care","Natural support, easy to use",Overuse se discomfort ho sakta hai,Allergy/interaction possible,"Tulsi, Neem",Sandalwood_1.jpg,Sandalwood_2.jpg,Sandalwood_3.jpg,Sandalwood_4.jpg,
51,Henna,Lawsonia inermis,Henna heart wellness support ke liye popular hai.,"Heart health, circulation","Traditional tonic, antioxidant",Not for everyone,Consult if on meds,"Arjuna, Garlic",Henna_1.jpg,Henna_2.jpg,Henna_3.jpg,Henna_4.jpg,
52,Bhringraj,Eclipta prostrata,Bhringraj seasonal respiratory comfort me use hota hai.,"Respiratory, throat comfort",Aroma/comfort support,Strong smell some dislike,Irritation possible,"Thyme, Sage",Bhringraj_1.jpg,Bhringraj_2.jpg,Bhringraj_3.jpg,Bhringraj_4.jpg,
53,Guggul,Commiphora wightii,Guggul heart wellness support ke liye popular hai.,"Heart health, circulation","Traditional tonic, antioxidant",Not for everyone,Consult if on meds,"Arjuna, Garlic",Guggul_1.jpg,Guggul_2.jpg,Guggul_3.jpg,Guggul_4.jpg,
54,Flaxseed,Linum usitatissimum,Flaxseed skin aur overall health ke liye famous hai.,"Skin care, anti-inflammatory","Soothing, useful in routines",Continuous use recommended nahi,Patch test advisable,"Aloe Vera, Neem",Flaxseed_1.jpg,Flaxseed_2.jpg,Flaxseed_3.jpg,Flaxseed_4.jpg,
55,Chia,Salvia hispanica,Chia heart wellness support ke liye popular hai.,"Heart health, circulation","Traditional tonic, antioxidant",Not for everyone,Consult if on meds,"Arjuna, Garlic",Chia_1.jpg,Chia_2.jpg,Chia_3.jpg,Chia_4.jpg,
56,Hawthorn,Crataegus monogyna,Hawthorn heart wellness support ke liye popular hai.,"Heart health, circulation","Traditional tonic, antioxidant",Not for everyone,Consult if on meds,"Arjuna, Garlic",Hawthorn_1.jpg,Hawthorn_2.jpg,Hawthorn_3.jpg,Hawthorn_4.jpg,
57,Olive Leaf,Olea europaea,Olive Leaf seasonal respiratory comfort me use hota hai.,"Respiratory, throat comfort",Aroma/comfort support,Strong smell some dislike,Irritation possible,"Thyme, Sage",Olive_Leaf_1.jpg,Olive_Leaf_2.jpg,Olive_Leaf_3.jpg,Olive_Leaf_4.jpg,
58,Nettle,Urtica dioica,Nettle digestion aur gut health me helpful mana jata hai.,"Digestion, bloating, appetite","Digestive support, common herb",Excess se acidity,Stomach upset,"Fennel, Cumin",Nettle_1.jpg,Nettle_2.jpg,Nettle_3.jpg,Nettle_4.jpg,
59,Elderberry,Sambucus nigra,Elderberry skin aur overall health ke liye famous hai.,"Skin care, anti-inflammatory","Soothing, useful in routines",Continuous use recommended nahi,Patch test advisable,"Aloe Vera, Neem",Elderberry_1.jpg,Elderberry_2.jpg,Elderberry_3.jpg,Elderberry_4.jpg,
60,Echinacea,Echinacea purpurea,Echinacea digestion aur gut health me helpful mana jata hai.,"Digestion, bloating, appetite","Digestive support, common herb",Excess se acidity,Stomach upset,"Fennel, Cumin",Echinacea_1.jpg,Echinacea_2.jpg,Echinacea_3.jpg,Echinacea_4.jpg,
61,Astragalus,Astragalus membranaceus,Astragalus digestion aur gut health me helpful mana jata hai.,"Digestion, bloating, appetite","Digestive support, common herb",Excess se acidity,Stomach upset,"Fennel, Cumin",Astragalus_1.jpg,Astragalus_2.jpg,Astragalus_3.jpg,Astragalus_4.jpg,
62,Schisandra,Schisandra chinensis,Schisandra heart wellness support ke liye popular hai.,"Heart health, circulation","Traditional tonic, antioxidant",Not for everyone,Consult if on meds,"Arjuna, Garlic",Schisandra_1.jpg,Schisandra_2.jpg,Schisandra_3.jpg,Schisandra_4.jpg,
63,Rhodiola,Rhodiola rosea,Rhodiola digestion aur gut health me helpful mana jata hai.,"Digestion, bloating, appetite","Digestive support, common herb",Excess se acidity,Stomach upset,"Fennel, Cumin",Rhodiola_1.jpg,Rhodiola_2.jpg,Rhodiola_3.jpg,Rhodiola_4.jpg,
64,Cayenne,Capsicum annuum,Cayenne traditional medicine me use hota hai aur body ko support karta hai.,"General health, immunity","Antioxidant support, natural",Kuch logon me taste/irritation,Sensitive logon ko dikkat,"Amla, Ginger",Cayenne_1.jpg,Cayenne_2.jpg,Cayenne_3.jpg,Cayenne_4.jpg,
65,Boswellia,Boswellia serrata,Boswellia digestion aur gut health me helpful mana jata hai.,"Digestion, bloating, appetite","Digestive support, common herb",Excess se acidity,Stomach upset,"Fennel, Cumin",Boswellia_1.jpg,Boswellia_2.jpg,Boswellia_3.jpg,Boswellia_4.jpg,
66,Frankincense,Boswellia sacra,Frankincense ek medicinal plant hai jo daily wellness me help karta hai.,"Immunity, digestion, skin care","Natural support, easy to use",Overuse se discomfort ho sakta hai,Allergy/interaction possible,"Tulsi, Neem",Frankincense_1.jpg,Frankincense_2.jpg,Frankincense_3.jpg,Frankincense_4.jpg,
67,Mint,Mentha spicata,Mint seasonal respiratory comfort me use hota hai.,"Respiratory, throat comfort",Aroma/comfort support,Strong smell some dislike,Irritation possible,"Thyme, Sage",Mint_1.jpg,Mint_2.jpg,Mint_3.jpg,Mint_4.jpg,
68,Bay Leaf,Laurus nobilis,Bay Leaf digestion aur gut health me helpful mana jata hai.,"Digestion, bloating, appetite","Digestive support, common herb",Excess se acidity,Stomach upset,"Fennel, Cumin",Bay_Leaf_1.jpg,Bay_Leaf_2.jpg,Bay_Leaf_3.jpg,Bay_Leaf_4.jpg,
69,Aparajita,Clitoria ternatea,Aparajita digestion aur gut health me helpful mana jata hai.,"Digestion, bloating, appetite","Digestive support, common herb",Excess se acidity,Stomach upset,"Fennel, Cumin",Aparajita_1.jpg,Aparajita_2.jpg,Aparajita_3.jpg,Aparajita_4.jpg,
70,Butea,Butea monosperma,Butea digestion aur gut health me helpful mana jata hai.,"Digestion, bloating, appetite","Digestive support, common herb",Excess se acidity,Stomach upset,"Fennel, Cumin",Butea_1.jpg,Butea_2.jpg,Butea_3.jpg,Butea_4.jpg,
